id,店名,ビル,階,区画,判定,業種,営業時間,定休日,予算,タグ,電話,公式サイト,別名,出典,確認日,メモ
b2-B2-a63f03,つけ麺 紋次郎,2,B2,19-2,採用,,"11:00-16:00,18:30-22:00",,,,06-6344-0688,https://www.genki-factory.com/brand/monjiro/,つけ麺 紋次郎 大阪駅前第二ビル店|紋次郎 梅田第2ビル店,https://www.genki-factory.com/brand/monjiro/,2026-09-23,平日の時間（公式）。土日は11:00-16:00のみ。年中無休。全日11:00-23:00とする古い情報もあり
b2-B2-5150d8,ジョニーのからあげ 大阪駅前第2ビル店,2,B2,20-1,採用,,"11:00-15:00,17:00-23:00",,ランチ~1000,喫煙可,06-6347-4421,https://oitakaraage.com/shop/osakaeki.html,ジョニーのからあげ 大阪駅ビル店,https://oitakaraage.com/shop/osakaeki.html,2026-09-23,平日の時間。日祝12:00-22:30。不定休。唐揚げ定食780円
b2-B2-569338,すし酒場 さしす,2,B2,21,採用,,14:00-23:00,,2000-3000,,06-6485-8945,https://joujou.co.jp/shop/sashisu2/,すし酒場 さしす 2号店,https://joujou.co.jp/shop/sashisu2/,2026-09-23,"平日の時間。土日祝12:00-23:00。不定休・年末年始休み。平均2,500円"
b2-B2-fc13da,天神大ホール 第2ビル店,2,B2,22,採用,,14:00-23:00,,ランチ1000-2000/ディナー2000-3000,喫煙可,,https://joujou.co.jp/shop_list/tenjindaihall/,大衆酒場 天神大ホール 大阪駅前第2ビル店,https://www.hotpepper.jp/strJ004252585/,2026-09-23,平日の時間。土日祝12:00-23:00。1/1〜1/3以外無休
b2-B2-caeb3f,立呑み処 七津屋,2,B2,23-1,採用,,10:30-22:00,,~2000,喫煙可,06-6344-7728,https://shoya-group.jp/jp/archives/works/nanatsuya,立呑み処 七津屋 大阪駅前第2ビル店|七津屋 大阪駅前第2ビル店,https://www.hotpepper.jp/strJ001237936/,2026-09-23,毎日営業
b2-B2-57ced9,アリラン（韓国家庭料理）,2,B2,25-1,採用,,11:00-22:30,,ランチ~1000/ディナー2000~,,,,韓国家庭料理 アリラン|韓国料理 アリラン 大阪駅前第2ビル店,https://www.hotpepper.jp/strJ001125478/,2026-09-23,月〜土の時間。日祝11:00-21:30。年中無休。ランチ850円。第3ビルにも「アリラン」あり（別店）
b2-B2-0bb3d4,熊本馬刺鶏料理の遊食家 アズバード,2,B2,25-2,一部,,,,ランチ~1000,ランチあり,06-7777-5510,,熊本馬刺と鶏料理 遊食家アズバード,https://tabelog.com/osaka/A2701/A270101/27136715/,2026-09-23,11:30開店（閉店時刻・定休日は見つからず）。ランチはチキン南蛮定食850円
b2-B2-e40538,豚々亭,2,B2,26,採用,,11:00-22:00,,1000~,禁煙|行列,06-6341-7123,,,https://mrs.living.jp/osaka/town_gourmet/reporter/5111344,2026-09-23,月〜土の時間。日祝11:00-21:00。年中無休。トンテキ定食。食券制。昼は行列
b2-B2-59a44f,2ビルのいしもん,2,B2,27-1,採用,,16:00-23:00,,,予約可,,https://2birunoishimon.owst.jp/,,https://www.hotpepper.jp/strJ004025579/,2026-09-23,所在地がB2 27-1で一致。月〜木・土の時間。金16:00-23:30、日祝15:00-22:00。定休日の記載なし
b2-B2-50663e,ワイン＆洋風お好み焼き アベロ食堂,2,B2,27-2,一部,,,水|日,,カウンターのみ,,https://apero-shokudo.com/,アペロ食堂|ワインと洋風お好み焼 アペロ食堂,https://apero-shokudo.com/about,2026-09-23,公式の表記は「アペロ食堂」（うちは「アベロ」）。16時開店（閉店時刻は見つからず）。カウンター16〜18席。2023年12月開店
b2-B2-abe0f3,焼鳥 牛たん どんたく,2,B2,28-1,採用,,"11:00-14:00,17:30-22:30",土|日|祝,2000-3000,カウンターのみ,,,どんたく,https://asayama.info/?p=2734,2026-09-23,asayama.infoで区画28-1と一致。15席
b2-B2-6f1cf3,にしき,2,B2,28-2,採用,そば・うどん,11:00-22:00,日|祝,~1000,カウンターのみ,,,手打ち饂飩にしき|手打ち饂飩 にしき,https://udondb.supleks.jp/s/104906.html,2026-09-23,うちの業種は「居酒屋」だったが、ネットでは第2ビルB2の「にしき」は手打ちうどん店しか出てこないので業種を直した。土は17:00まで。名物もつ吸いうどん
b2-B2-c7d16c,ちるり 盛岡冷麺・タンしゃぶ,2,B2,29,採用,,"12:00-15:00,17:00-23:00",,1000~,,06-6343-2367,https://chillri.jp/store/,CHILLRI|ちるり,https://tabelog.com/en/osaka/A2701/A270101/27136126/,2026-09-23,昼の開始は12:00と11:00、休みは水曜と不定休で情報源が割れる（休みは入れていない）。昼は盛岡冷麺、夜はタンしゃぶ
b2-B2-b2d6b0,大衆すし 謹賀,2,B2,31,採用,,11:00-23:00,,~3000,,,,大衆すし 謹賀 2ビル,https://www.hotpepper.jp/strJ004181930/,2026-09-23,"不定休。平均3,000円"
b2-B2-66ff77,WCB UMEDA1,2,B2,32-2,採用,,15:00-22:00,月,,,06-6676-8250,https://www.westcoastbrewing.jp/location/wcb-umeda/,WCB UMEDA 1,https://www.westcoastbrewing.jp/location/wcb-umeda/,2026-09-23,火〜金の時間。土日11:00-22:00。静岡の醸造所 West Coast Brewing の直営ビアバー。所在地B2の32号西側で一致
b2-B2-f4ac4f,お立呑み処 たよし 大阪駅前第2ビル店,2,B2,33,一部,,,日,1000-2000,喫煙可,06-6346-5666,https://y-tayoshi.co.jp/shop_ekimae2/,たよし 大阪駅前第2ビル店|立呑み処たよし,https://y-tayoshi.co.jp/shop_ekimae2/,2026-09-23,15時開店（閉店時刻は見つからず）。ワンコインセット500円
b2-B2-cf9124,コーヒーハウス イフ,2,B2,34-2,採用,,7:30-20:00,,,,06-6345-3047,,COFFEE HOUSE if|イフ,https://gourmetyossy-blog.com/2024/08/19/47368/,2026-09-23,平日の時間。土日祝8:00-18:30。月1回ほど不定休（第3日曜が多い）。8:00-21:00年中無休とする古い情報もあり。喫煙は禁煙/喫煙可で情報が割れる。1976年創業
b2-B2-1a7a7b,大衆居酒屋 黒たぬき,2,B2,35-1,採用,,11:30-23:00,,,ランチあり,06-6147-2955,https://www.instagram.com/kurotanuki.umeda/,,https://www.hotpepper.jp/strJ004201817/,2026-09-23,B2の店（B1-15にも黒たぬきB1店あり）。ランチ11:30-15:00。65席。定休日の記載なし
b2-B2-b52e8a,肉屋の串カツ 丸力 大阪駅前第2ビル店,2,B2,35-4,要確認,,,,,,,,,,2026-09-23,出てくる情報が2017年時点で「B1F」表記（うちはB2-35-4）。系列の丸力は「大衆酒場 マルリキ」に改名した店もあり、今の店名・場所が確かめられない
b2-B2-0f7df3,磯丸水産 大阪駅前第2ビル店,2,B2,36,採用,,11:00-23:00,,ランチ~1000/ディナー2000-3000,,06-6348-1177,https://isomaru.jp/1540/,,https://isomaru.jp/1540/en/,2026-09-23,年中無休。浜焼き
b2-B2-cdb811,大阪駅前第2ビルB2 応援団 勝男,2,B2,37,採用,,11:30-23:30,,2000-3000,喫煙可,06-6225-8101,https://keje800.gorp.jp/,第2ビルB2応援団 大分からあげと鉄板焼 勝男|勝男 第2ビルB2応援団,https://r.gnavi.co.jp/cr6v87pe0000/,2026-09-23,B2の店（B1-56にもB1応援団あり）。年中無休。喫煙目的店のため20歳未満は入店不可。125席。生ビール180円
b2-B2-2257df,餃子の王将,2,B2,40,採用,,11:00-21:30,,,,06-6341-6410,https://map.ohsho.co.jp/b/ohsho/info/1423/,餃子の王将 大阪駅前第2ビル店,https://map.ohsho.co.jp/b/ohsho/info/1423/,2026-09-23,年中無休（年末年始は別）。23席
b2-B2-9306df,立ち呑み まさ 梅田店,2,B2,41,採用,,15:00-22:45,月,,禁煙,,https://tachinomi-masa.com/,立ち呑み まさ 大阪駅前第2ビル店|大衆すし居酒屋 まさ,https://tachinomi-masa.com/shop.html,2026-09-23,所在地B2-41で一致。平日の時間。土12:00-22:45、日祝12:00-21:00。ドリンク100円台から
b2-B2-c035db,Caffe*MINIMO,2,B2,42-1,見送り,,,,,,,,,,2026-09-23,検索で見つからず
b2-B2-106beb,うどん・そば 麺2,2,B2,42-2,採用,,8:00-21:30,日,,,,,麺2|麺２,https://www.hotpepper.jp/strJ000618069/,2026-09-23,平日の時間。土8:00-19:00。立ち食いのセルフうどん
b2-B2-b45b34,居食や きんやま,2,B2,43,採用,,11:00-23:30,,,喫煙可,,,きんやま|居酒屋 きんやま,https://epark.jp/shopinfo/hit620320/,2026-09-23,定休日なし
b2-B2-a0b846,居酒屋 柚,2,B2,45,一部,,,,,ランチあり,06-6341-4281,,柚|居酒屋柚（ゆう）,https://www.hotpepper.jp/strJ000448367/,2026-09-23,炉端のカウンター。昼も営業しランチあり。営業時間・定休日は見つからず
b2-B2-fd9d35,JAZZ&BAR ホワッツ・ニュー,2,B2,46,採用,,18:00-23:00,日|祝,,,06-6345-3119,,ホワッツ ニュー|What's New,https://bar-navi.suntory.co.jp/shop/0663453119/,2026-09-23,
b2-B2-36c578,Little Bar リトルバー,2,B2,47-1,採用,,17:00-24:00,日,,,06-6345-5001,,LITTLE BAR|リトルバー,https://bar-navi.suntory.co.jp/shop/0X00221797/,2026-09-23,祝日も休みとする情報源あり
b2-B2-1ee79f,居酒屋 平田,2,B2,47-2,一部,,,日,ランチ~1000/ディナー1000-2000,ランチあり,,,平田,https://www.hotpepper.jp/strJ003340262/,2026-09-23,10席ほど。営業時間は見つからず
b2-B2-2251ec,ビリヤニHUB,2,B2,48-1,採用,,"11:00-15:00,17:00-21:30",,ランチ~1100,,,,BIRYANI HUB|ビリヤニ・ハブ,https://higachannpoko.com/%E5%9C%B0%E5%9F%9F%E5%88%A5/biryani-hub%E5%A4%A7%E9%98%AA%E9%A7%85%E5%89%8D%E7%AC%AC2%E3%83%93%E3%83%AB%E3%83%BB%E3%82%AB%E3%83%AC%E3%83%BC.html,2026-09-23,"2024-03-19開店のスリランカ料理。定休日の記載なし。ビリヤニセット1,000〜1,100円"
b2-B2-00c070,タチノミエイト 第2ビル店,2,B2,48-2,採用,,15:00-23:00,日,,禁煙,06-6344-8222,https://www.instagram.com/tachinomieight/,タチノミエイト 大阪駅前第2ビル店,https://tabelog.com/en/osaka/A2701/A270101/27141735/,2026-09-23,平日の時間。土14:00-22:00。アテ400円前後。2024-04-01開店
b2-B2-bb727d,大衆居酒屋 よっとこ,2,B2,49,採用,,"11:30-14:00,17:00-22:30",,ディナー3000-4000,喫煙可|予約可,,https://brezza2018.com/izakaya/,大衆居酒屋よっとこ,https://www.hotpepper.jp/strJ002647361/,2026-09-23,"平日の時間。土日祝12:00-22:00。定休日の記載なし。飲み放題付きコース1,999円"
b2-B2-d1d621,オットモンテ,2,B2,50-2,採用,洋食,11:00-14:30,土|日,ランチ~1000,,,,イタリア食堂オットモンテ,https://news.yahoo.co.jp/expert/articles/9355897bebfb8314706b11ee30b4e1edd32d8cd5,2026-09-23,うちの業種は「居酒屋」だったが生パスタの店なので直した。「営業は平日ランチのみ」との記事から土日を休みにした。夜は不定期営業（Instagramで告知）。900円〜
b2-B2-52149c,らーめん やまちゃん,2,B2,50-3,採用,,"11:00-15:30,17:00-21:00",,,,,https://www.instagram.com/ra.yama17/,らーめんやまちゃん,https://asayama.info/?p=1685,2026-09-23,平日の時間。土日祝は夜が20:30まで。不定休。B2郵便局前。第1ビルの「イッちゃん店」は姉妹店
b2-B2-99e8b0,焼鳥 にのや,2,B2,51-1,採用,,17:00-23:00,土|日|祝,,,,,にのや|焼鳥にのや,https://loco.yahoo.co.jp/place/g-MOuAlitD8IQ/,2026-09-23,カウンターと少しのテーブル
b2-B2-495969,ちゃんこ居酒屋 太一山,2,B2,51-2,採用,,17:30-22:30,木|日,2000-4000,禁煙|カウンターのみ|一人OK,,https://chanko-taichiyama.com/,ちゃんこ居酒屋太一山,https://chanko-taichiyama.com/info.aspx,2026-09-23,"元力士の店。紙巻きは不可・電子タバコは可。予算は3,000〜4,000円と2,000円前後で情報源が割れる。公式は「一人飲み居酒屋」"
b2-B2-284339,麺屋7.5Hz+ 梅田店,2,B2,52-1,採用,,11:00-20:00,木,,,06-6346-5510,https://75hz.jp/umedaten/,麺屋7.5Hz 梅田店|7.5ヘルツプラス,https://75hz.jp/umedaten/,2026-09-23,月1回水曜も休み
b2-B2-1c3b77,ドリンクステーション 2ビルB2東店,2,B2,52-2,見送り,,,,,,,,,,2026-09-23,検索で見つからず
b2-B2-40e39f,喫茶 ジャマイカ,2,B2,54,一部,,,,,喫煙可,06-6345-2847,,ジャマイカ|喫茶ジャマイカ,https://cafeadvisor.jp/introduce/umeda-coffee-jamaica/,2026-09-23,営業時間は16:00-21:00／15:00-21:00／8:00-21:00と情報源がばらばらなので入れていない
b2-B2-00e310,エキビルダイナー マチソワ,2,B2,57-3-1,採用,バー,"11:00-14:00,16:00-23:00",祝,,予約可,,,エキビルダイナー・マチソワ,https://www.hotpepper.jp/strJ004492694/,2026-09-23,業種が空だったので「ダイニングバー」からバーにした。日曜も営業
b2-B2-d6ae2b,SAKE and FOOD ボクのスタンド,2,B2,59,採用,,11:30-23:30,,2000-3000,分煙,080-8912-7595,,ボクのスタンド 梅田店,https://www.hotpepper.jp/strJ003649166/,2026-09-23,全席立ち飲み・焼き鳥。定休日の記載なし
b2-B2-d195f4,金明飯店,2,B2,60,採用,,11:00-23:30,,ランチ~1000/ディナー2000-3000,喫煙可,,https://kinmeidai2bld-umeda.owst.jp/,中華料理 金明飯店 大阪駅前第2ビル店,https://www.hotpepper.jp/strJ000827891/,2026-09-23,"年中無休。ランチ約800円・ディナー約2,500円。150種食べ放題コース3,200円"
b2-B2-36b183,至極の麺 華,2,B2,61-2,一部,,,,,ランチあり,090-6063-7768,,至極の麺華,https://retty.me/area/PRE27/ARE89/SUB8901/100001305932/,2026-09-23,"営業時間は2通りの情報（11:00-21:30／11:30-15:00,16:30-20:30）があり入れていない。麺が売り切れたら終了。休みはGW・お盆・年末年始"
b2-B2-2998b8,ホルモン焼 おかだ,2,B2,62-1,採用,,17:30-23:00,日,,予約可,06-6454-1118,,ホルモン焼おかだ,https://www.hotpepper.jp/strJ001146814/,2026-09-23,営業日は「月〜土・祝・祝前日」なので日曜を休みにした。20時までワンコインセット500円
b2-B2-4e4d57,北京飯店,2,B2,62-2,採用,,11:00-23:00,土|日,~1000,,,,,https://tabelog.com/en/osaka/A2701/A270101/27120588/,2026-09-23,定食が中心（麻婆春雨・油淋鶏など）
b2-B2-b30f53,cafe&bar for you II,2,B2,63-1,採用,,18:00-22:30,日,,,06-6345-3122,,cafe & bar for you Ⅱ,https://loco.yahoo.co.jp/place/g-wlElPZJkl1s/,2026-09-23,以前は昼11:30-14:30にカレーを出していたという情報もあり、今もあるかは不明
b2-B2-09e320,シャトレーヌ・プラス,2,B2,63-2,採用,,7:00-21:00,,,喫煙可,06-6451-7775,,シャト・レーヌ・プラス 大阪駅前第2ビル南店,https://hitosara.com/0031226261/,2026-09-23,平日の時間。土日祝8:00-20:00。無休。全席喫煙可。電源席あり
b2-B2-03a69b,らーめん チョンマゲ 梅田店,2,B2,64,採用,,"11:00-14:45,18:00-21:45",,,,,,らーめん チョンマゲ 大阪梅田店,https://ramendb.supleks.jp/s/153956.html,2026-09-23,"月〜木の時間。金は夜22:45まで、土11:00-15:15,18:00-22:00、日11:00-21:00。定休日なし（年末年始は休み）。玉子焼きめしが有名"
b2-B2-49233c,変わりかつ丼 祭太鼓,2,B2,65,採用,,11:00-21:00,,~1000,,,http://matsuridaiko.co.jp/access.html,祭太鼓 大阪駅前第二ビル店|元祖 変わりかつ丼・親子丼 祭太鼓,https://hitosara.com/0032002781/,2026-09-23,不定休。700円〜。B2南通路。第3ビルにも店あり
b2-B2-df38d4,立ち呑み 庶民,2,B2,67-1,採用,,11:00-21:45,月,1000-2000,禁煙|現金のみ,,https://www.tachinomishomin.net/,立ち呑み 庶民 大阪駅前第2ビル店,https://retty.me/area/PRE27/ARE89/SUB8901/100001550967/,2026-09-23,所在地B2 67-1号で一致。全席禁煙・現金のみ・20席
b2-B2-777ad1,ちるちるにびる,2,B2,67-2,一部,,,,,立ち飲み,,,,https://asayama.info/?p=2845,2026-09-23,asayama.infoに区画67-2とあったので区画を補った（うちは空欄だった）。中華の立ち飲み。年中無休。営業時間は見つからず
b2-B2-063daf,フランス風一膳飯屋＆ワイン彩々 いわむら cher Deuxieme,2,B2,69,採用,,"11:30-14:00,17:30-21:00",,,行列|予約可,06-6341-7665,https://e-iwamura.com/,いわむら Chez Deuxieme|シェ ドゥジェーム いわむら,https://www.hotpepper.jp/strJ000041291/,2026-09-23,土曜はランチなし。日曜の営業は不明。ランチは手作り洋食で行列
b2-B2-551440,つけ麺専門 虎ノ王,2,B2,71,採用,,11:00-22:30,,,,06-6348-1817,https://kern200.gorp.jp/,つけ麺専門 麺処 虎ノ王 梅田店|虎の王 梅田1号店,https://ramendb.supleks.jp/s/111944.html,2026-09-23,定休日の記載なし。梅田2号店という別店もある
b2-B2-b2bb7e,焼鳥スタンドつくも99,2,B2,,一部,,,,,,,https://www.instagram.com/yakitoristando_99,,https://www.instagram.com/yakitoristando_99,2026-09-23,2026年2月開店。営業時間などは見つからず
b2-B1-907050,チャイニーズ酒家 豪華（フーバー）,2,B1,1,採用,,11:00-22:00,日|祝,ランチ~1000,喫煙可,,,豪華|フーバー|チャイニーズ酒家 フーバー(豪華),https://www.hotpepper.jp/strJ000013040/,2026-09-23,"15時まで定食のご飯おかわり自由。夜のコース1,980円〜。貸切可"
b2-B1-fe54ac,肉食系酒場 片岡肉じろう,2,B1,3-2,採用,,"12:00-15:00,17:00-22:00",日,1000~,禁煙,050-5592-4858,,片岡肉じろう,https://x.com/miteiku_winds/status/2077667404667400527,2026-09-23,平日の時間。土・祝15:00-22:00。昼を11:45-14:00とする情報もあり。チャーシューエッグ定食
b2-B1-446b08,大衆酒場 台所や はなれ,2,B1,4,要確認,,,,,,,,,,2026-09-23,検索で出るのは本店「大衆酒場 台所や」（B1-13）の情報で、「はなれ」の営業時間は見つからない
b2-B1-7d852b,ちかごろのカレー屋さん カナエ,2,B1,6-1,採用,,11:00-20:30,,,,06-6346-0137,https://www.curry-kanae.jp/,ちかごろのカレー屋さん KANAE|KANAE,https://www.curry-kanae.jp/,2026-09-23,平日の時間。土11:00-16:00、日祝11:00-15:00。月曜休みとするブログもあり（要確認）
b2-B1-334180,堂山食堂,2,B1,6-2,見送り,,,,,,,,堂山食堂 2ビル店,,2026-09-23,食べログに「堂山食堂 2ビル店」はあるが、検索結果の情報（24時間営業など）は本店のものと混ざっていて使えない
b2-B1-cd8664,大衆串カツ よっとこ,2,B1,7-1,採用,,17:00-22:30,,1000-3000,喫煙可|予約可,06-6147-7225,https://kusikatsuyottoko.owst.jp/,,https://www.hotpepper.jp/strJ003498669/,2026-09-23,"所在地B1 7-1で一致。平日の時間。土日祝12:00-22:00。不定休。飲み放題120分1,999円〜"
b2-B1-0bfb34,肉汁餃子のダンダダン 大阪駅前第2ビル店,2,B1,8-1,採用,,"11:30-15:00,17:00-23:00",,3000~,,06-6344-6189,https://dandadan-umeda-ekimaebiru.owst.jp/,肉汁餃子のダンダダン 大阪駅前第二ビル店,https://www.hotpepper.jp/strJ003474045/,2026-09-23,平日の時間。土・祝・祝前日11:30-23:00、日11:30-21:30。不定休
b2-B1-81db1f,ひねり蛇口ハイ 大衆酒泉 テルマエ 大阪駅前第2ビル店,2,B1,8-2,採用,,12:00-23:00,,,,06-6131-9616,https://terumae-official.com/shop/osakaekimaedainibiru/,大衆酒泉テルマエ 大阪駅前第2ビル泉|テルマエ,https://terumae-official.com/shop/osakaekimaedainibiru/,2026-09-23,毎日営業。蛇口から飲み放題1時間398円・生中190円。2023-09-18開店
b2-B1-f1c78e,台湾料理 味仙,2,B1,8-3,採用,,"11:30-14:00,17:00-21:30",水,ランチ1000-2000/ディナー2000-3000,,06-6343-0470,https://x.com/misenosaka,台湾料理 味仙 大阪駅前第2ビル地下1階店,https://hitosara.com/0031672503/tel.html,2026-09-23,火曜だけ夜22:00まで。名古屋「味仙」の系譜。台湾ラーメン
b2-B1-d9c0ba,海鮮酒場 ナカヒデ,2,B1,8-4,採用,,15:00-23:00,,ディナー3000-4000,喫煙可|予約可,06-6147-9092,https://nakahide-umeda.owst.jp/,元気 海鮮酒場 ナカヒデ 梅田店 大阪第二ビル,https://www.hotpepper.jp/strJ003671076/,2026-09-23,所在地B1-8-4で一致。平日の時間。土12:00-22:00、日祝12:00-21:00。不定休。平日15〜18時はドリンク99円
b2-B1-c2c510,大衆飯店 十八番,2,B1,11,採用,,11:30-23:30,,~3000,ランチあり,06-6110-5271,https://kesm200.gorp.jp/,大衆飯店 十八番 第2ビルB1店,https://tabelog.com/osaka/A2701/A270101/27155939/,2026-09-23,2026-05-14開店の大衆中華酒場。年中無休。瓶ビール大299円。第4ビルB2にも店あり
b2-B1-6a7b55,立呑屋 楠木フサヱ 本店,2,B1,12-2,一部,,,,,喫煙可,,,楠木フサヱ 本店|立呑屋楠木フサエ|楠木フサエ 本店,https://www.hotpepper.jp/strJ004316615/,2026-09-23,"所在地B1F12で一致。営業時間は2通り（平日11:00-14:00,17:00-23:00／平日16:00-23:00）あり入れていない。日本酒中心"
b2-B1-965fa4,大衆酒場 台所や,2,B1,13,採用,,"11:30-14:00,17:00-23:00",日,~3000,,06-6344-1060,,,https://www.hotpepper.jp/strJ000985453/,2026-09-23,"月〜土の時間。平均3,000円"
b2-B1-b9519b,楠木フサヱ はなれ,2,B1,14-1,採用,,16:00-23:00,,~2000,喫煙可|予約可,,,,https://www.hotpepper.jp/strJ004283559/,2026-09-23,平日の時間。土14:00-23:00、祝14:00-22:00。全面喫煙可。本店（B1-12-2）の検索で出た「平日16:00-23:00」はこの店の時間だった
b2-B1-59f96a,大衆居酒屋黒たぬき大阪駅前第2ビルB1店,2,B1,15,要確認,,,,,,,,,,2026-09-23,検索ではB2の黒たぬき（B2-35-1）の情報しか出ず、B1店の営業時間が区別できない
b2-B1-0ee1d2,めん処 つるつる庵,2,B1,17-1,採用,,9:30-19:30,日,,,,,つるつる庵 第2ビル店|めん処 つるつる庵 第２ビル店,https://retty.me/area/PRE27/ARE89/SUB8901/100000926718/,2026-09-23,平日の時間。土9:30-16:30（10:30開店とする情報も）、祝10:30-15:00。祝日も休みとする情報あり
b2-B1-d5df43,カフェ・ラ・ネージュ,2,B1,18,一部,,,,,喫煙可,06-6346-0258,,ラ・ネージュ|カフェ ラ・ネージュ,https://www.hotpepper.jp/strJ000448832/,2026-09-23,平日8:00〜・土日祝9:00〜（閉店時刻は見つからず）。全面喫煙可。モーニングあり
b2-B1-7e2b3a,ステーキファイブと寿司六,2,B1,19,採用,,11:30-23:00,,ランチ1000-2000/ディナー2000-3000,,06-6147-3589,https://steakfive.com/,ステーキファイブと寿司六 大阪駅前第2ビル店,https://hitosara.com/0031686879/,2026-09-23,月〜土の時間。日祝11:30-22:00。年中無休。電話予約は不可。熟成牛ステーキと熟成寿司。第3ビルにも店あり
b2-B1-3e56ff,まじめや,2,B1,21-1,採用,,12:00-23:00,,,喫煙可,050-5488-7684,https://kdf0018.gorp.jp/,大衆居酒屋 まじめや 大阪駅前第二ビル店|居酒屋 まじめや 大阪駅前第二ビル店,https://www.hotpepper.jp/strJ001258862/,2026-09-23,月〜土の時間。日祝12:00-22:30。無休。60席。唐揚げ490円
b2-B1-7073b9,立呑処 しげ家,2,B1,28,見送り,,,,,,,,,,2026-09-23,食べログに「しげ家（北新地/立ち飲み）」はあるが、第2ビルの店と確かめられる情報が出ない
b2-B1-0415ec,インド家庭料理 マハラジャ,2,B1,30,採用,,"11:00-15:00,17:00-22:00",,,,050-5869-5835,,インド料理 MAHARAJA|マハラジャ,https://www.magokorokomete302.com/entry/2025/02/26/070002,2026-09-23,年中無休。2025年2月時点で営業の記事あり。第1ビルのカジュラホが「マハラジャの移転先」とする紹介もあるので、今も営業しているか要確認
b2-B1-92dccc,呑み処 りんご屋 パート1,2,B1,31-2,要確認,,,,,,,,呑み処りんご屋 大阪駅前第２ビル店パート１,,2026-09-23,食べログで「営業しているか確認できていない」扱いになっている。閉店・移転の可能性あり
b2-B1-224abf,大衆酒場 どんがめ,2,B1,32,一部,,,,,,06-6341-3155,https://ke5z900.gorp.jp/,大衆酒場 どんがめ 大阪駅前第2ビル店,https://hitosara.com/0031385364/,2026-09-23,昼から営業。営業時間の詳細は見つからず。隣のB1-33は系列の「どんがめMAX」
b2-B1-802430,どんがめ まっくす 大阪駅前第2ビル店,2,B1,33,採用,,11:00-23:30,,2000~,喫煙可,06-6485-8115,https://ke7u701.gorp.jp/,大衆酒場 どんがめMAX 大阪駅前第2ビル店|どんがめMAX,https://retty.me/area/PRE27/ARE89/SUB8901/100001703574/,2026-09-23,休みは年末年始のみ。開店は11:00と11:30で情報源に差。2025-06-17から全席喫煙可
b2-B1-5bf614,大富豪,2,B1,35,採用,,12:00-22:00,,,喫煙可|立ち飲み,,https://ke97600.gorp.jp/,立呑みやきとり 大富豪 大阪駅前第2ビル店|立ち呑み やきとり 大富豪,https://retty.me/area/PRE27/ARE89/SUB8901/100001587517/,2026-09-23,月火木金土の時間。水・日は12:00-21:00。定休日の記載なし。やきとり150円〜・赤星大瓶399円
b2-B1-012c48,Bar SECOND FILL,2,B1,36-2,採用,,16:00-24:00,日,,予約可,06-4256-7222,,バー セカンドフィル,https://bar-navi.suntory.co.jp/shop/S000009816/,2026-09-23,翌月曜が祝日なら日曜は営業し月曜休み
b2-B1-6d7a03,串カツ わんさか,2,B1,36-3,採用,,12:00-22:30,月,ランチ~3000/ディナー~4000,喫煙可|予約可,06-7777-5594,,,https://www.hotpepper.jp/strJ004509247/,2026-09-23,全面喫煙可。おでん串も名物
b2-B1-5c91fb,がってん 大阪駅前第2ビル店,2,B1,39,一部,,,,,,06-6346-2456,,がってん大阪駅前第2ビル店,https://www.hotpepper.jp/strJ000720389/,2026-09-23,所在地B1F-39で一致。生ビール190円・焼き鳥70円・飲み放題398円。営業時間・定休日は見つからず
b2-B1-1da350,まきし亭本店,2,B1,41,一部,,,,ランチ~1000/ディナー2000-3000,,,http://makishitei2biruhonten.jp/,駅ビル酒場 マキシ亭 大阪駅前第二ビル本店|まきし亭 2ビル本店|マキシ亭,https://tabelog.com/osaka/A2701/A270101/27004284/dtlrvwlst/B523513243/,2026-09-23,焼き鳥が中心。営業時間・定休日は見つからず。第2ビル中央店・第3ビル店もあり
b2-B1-809843,カフェ＆スタンド エルソル,2,B1,43-1,採用,洋食,16:30-23:00,月,,,,,cafe & stand EL SOL|エルソル,https://tabelog.com/osaka/A2701/A270101/27129149/dtlmenu/,2026-09-23,火〜金・日の時間。土16:00-23:00。食べログではイタリアンなので業種を「喫茶」から直した
b2-B1-0bb6eb,大衆焼肉・ホルモン よっとこ,2,B1,45,採用,,17:00-22:30,,ディナー3000-4000,喫煙可|予約可,06-6131-9299,https://taisyuyakinikuhorumon-yottoko.owst.jp/,大衆焼肉ホルモン よっとこ 梅田店,https://www.hotpepper.jp/strJ002647116/,2026-09-23,所在地B1 45号で一致。平日の時間。土日祝12:00-22:00。定休日なし
b2-B1-6fb162,元祖Mr.鶏っく,2,B1,46,採用,,12:00-23:30,,ランチ~1000/ディナー3000-4000,,06-6743-4147,https://kejd700.gorp.jp/,元祖Mr.鶏っく 大阪駅前第二ビル本店,https://r.gnavi.co.jp/kjj9amrr0000/,2026-09-23,"不定休。平均3,500円・ランチ900円"
b2-B1-1ff95c,すし 魚貴,2,B1,47,一部,,,,,,,,魚貴すし,https://www.hotpepper.jp/strJ000448582/,2026-09-23,40年以上続く老舗。営業時間などは見つからず
b2-B1-6a5bab,TAMANE,2,B1,48-1-1,見送り,,,,,,,,,,2026-09-23,スナック情報サイト等に名前があるだけで、営業時間などは見つからず
